name,precision,size[y,x]
layers.32.adaln_modulation.weight,F8_E4M3,18432x512
layers.32.adaln_modulation.weight_scale,F32,18432
layers.32.attention.norm_k.weight,BF16,256
layers.32.attention.norm_q.weight,BF16,256
layers.32.attention.o.weight,F8_E4M3,4608x4608
layers.32.attention.o.weight_scale,F32,4608
layers.32.attention.qkv.weight,F8_E4M3,13824x4608
layers.32.attention.qkv.weight_scale,F32,13824
layers.32.attention_norm1.weight,BF16,4608
layers.32.attention_norm2.weight,BF16,4608
layers.32.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.32.feed_forward.w1.weight_scale,F32,12288
layers.32.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.32.feed_forward.w2.weight_scale,F32,4608
layers.32.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.32.feed_forward.w3.weight_scale,F32,12288
layers.32.ffn_norm1.weight,BF16,4608
layers.32.ffn_norm2.weight,BF16,4608
layers.33.adaln_modulation.bias,BF16,18432
layers.33.adaln_modulation.weight,F8_E4M3,18432x512
layers.33.adaln_modulation.weight_scale,F32,18432
layers.33.attention.norm_k.weight,BF16,256
layers.33.attention.norm_q.weight,BF16,256
layers.33.attention.o.weight,F8_E4M3,4608x4608
layers.33.attention.o.weight_scale,F32,4608
layers.33.attention.qkv.weight,F8_E4M3,13824x4608
layers.33.attention.qkv.weight_scale,F32,13824
layers.33.attention_norm1.weight,BF16,4608
layers.33.attention_norm2.weight,BF16,4608
layers.33.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.33.feed_forward.w1.weight_scale,F32,12288
layers.33.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.33.feed_forward.w2.weight_scale,F32,4608
layers.33.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.33.feed_forward.w3.weight_scale,F32,12288
layers.33.ffn_norm1.weight,BF16,4608
layers.33.ffn_norm2.weight,BF16,4608
layers.4.adaln_modulation.bias,BF16,18432
layers.4.adaln_modulation.weight,F8_E4M3,18432x512
layers.4.adaln_modulation.weight_scale,F32,18432
